Unique_ID,X,Y,composite1,Riverdis_value_remap,Road_value_remap,Railway_value_remap,Space_value_remap,Riverquality_value_remap,SUM_public,SUM_educat,SUM_Changi,SUM_reside,SUM_social,All_Ages_2,Aged_0_15,Aged_16_29,Aged_30_44,Aged_45_64,Aged_65__2,Working_ag,Age_Struct,Persons_pe,All_househ,Couple_wit,Couple_w_1,House_Pric,House_Sale,Employment,Unemployme,Public_Tra,Transport,Transpor_1,Transpor_2,Household,Househol_1
6963,537084,196719,0.31,1,0.03,0,0.8,0.36,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6964,537270,196719,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6965,537456,196719,0.31,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6966,537642,196719,0.31,1,0.02,0,0.55,0.45,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6967,534944,196773,0.54,0.01,0,0.95,0.34,0,734.473999,0,44.6867981,950.2889957,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6968,535130,196773,0.62,0.54,0.01,0,0.52,0,654.7841797,0,0,339.8831005,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6969,535316,196773,0.62,0.24,0,0.01,0.91,0,827.5549927,0,0,0,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6970,535502,196773,0.46,0,0,0,1,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6971,535688,196773,0.38,0,0,0,1,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6972,535874,196773,0.38,0,0,0,0.84,0,0,0,0,0.117546998,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6973,536060,196773,0.46,0,0.05,0,0,0,0,0,23.43519974,1711.067505,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6974,536246,196773,0.62,0,0,0.67,0.13,0,20.36730003,0,0,2472.961345,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6975,536433,196773,0.62,0,0.07,0,0.04,0,1134.912018,0,1213.609985,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6976,536619,196773,0.46,0.56,0,0,0,0,3983.289663,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6977,536805,196773,0.31,0.52,0,0,0,0,3053.639893,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6978,536991,196773,0.31,0.9,0.01,0,0.36,0.45,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6979,537177,196773,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6980,537363,196773,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6981,537549,196773,0.31,1,0,0,0.8,0.27,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
